STT,Tên đề,Lớp,Loại đề,Thời gian,Tổng điểm,Phần đọc,Phần viết,Dạng passage,Số câu đọc,Số bài viết,Chủ đề chính
1,Khảo sát chất lượng L9 L2,9,Khảo sát,120 phút,10 điểm,4 điểm,6 điểm,Tư luận (Kỷ luật),5 câu,2 bài,Kỷ luật - Tự do
2,Luyện tập - Thu về một nửa,9,Luyện tập,90 phút,10 điểm,5 điểm,5 điểm,Thơ + gợi ý,5 câu,2 bài,Mùa thu - Sống chậm
3,Thi tỉnh TH 2024 - Áo cũ,9,Thi tỉnh,90 phút,20 điểm,6 điểm,14 điểm,Thơ (2 bài),5 câu,2 bài,Sống trọn vẹn + Tình mẹ
4,Luyện tập - Nhà/Mùa Xuân,8/9,Luyện tập,90 phút,20 điểm,6 điểm,14 điểm,Tư luận + Thơ,5 câu,2 bài,Gia đình - Bình yên
5,Luyện tập - Cơm mùi khói bếp,9,Luyện tập,90 phút,16 điểm,6 điểm,10 điểm,Truyện ngắn,5 câu,2 bài,Gia đình - Ký ức
6,Kiểm tra L6 (45 phút) - 1,6,Kiểm tra 1 tiết,45 phút,10 điểm,?,?,PDF - cần OCR,?,?,?
7,Kiểm tra L6 (45 phút) - 2,6,Kiểm tra 1 tiết,45 phút,10 điểm,?,?,PDF - cần OCR,?,?,?
8,Outline - Chí Phèo,9,Tài liệu,?,?,?,?,Outline nhân vật,?,?,Chí Phèo - Mạc Đức Khải

Tỷ lệ trung bình:,,,,,40-50% đọc,50-60% viết,,,
Mức độ khó:,,,,,Lớp 6 thấp,Lớp 9 cao,,,
Chủ đề lặp lại:,,,,"Gia đình, tình yêu, bình yên, sống trọn vẹn",,,,,
